"time","gFM_VSM_cc.measurementPcc.PGenPu"
0,0
1e-10,-5.235987717570891e-09
1e-10,-5.235987717570891e-09
0.001,-0.1835127007435721
0.002,-0.3887837901195658
0.003,-0.3840696381938478
0.004,-0.3601388023124275
0.005,-0.2960770915885289
0.006,-0.2620128673047569
0.007,-0.2335661577128609
0.008,-0.2131228206344811
0.009,-0.1955558074073189
0.01,-0.1833672654506007
0.011,-0.1680675918740469
0.012,-0.1598127360918468
0.013,-0.1478943908427263
0.014,-0.1405158151361487
0.015,-0.1321662754326352
0.016,-0.1250569609605347
0.017,-0.118747333385096
0.018,-0.1123719885582173
0.019,-0.1067916381298811
0.02,-0.101245548019222
0.021,-0.09597654915797069
0.022,-0.09090404572900572
0.023,-0.0859209108167559
0.024,-0.08103958398117768
0.025,-0.07624914064320797
0.026,-0.07147927380558156
0.027,-0.0667536827541035
0.028,-0.06204093673787176
0.029,-0.05733408994424016
0.03,-0.05262335824789341
0.031,-0.04790151075857918
0.032,-0.04316265614266552
0.033,-0.03840237907209476
0.034,-0.03361735958050285
0.035,-0.02880489711736964
0.036,-0.02396266582603162
0.037,-0.0190886199610408
0.038,-0.01418114351228601
0.039,-0.009239035343034985
0.04,-0.004261963794020118
0.041,0.000750613503776173
0.042,0.005798662860501221
0.043,0.01088213790647229
0.044,0.01600097469220098
0.045,0.02115520420931856
0.046,0.02634473537386665
0.047,0.03156939299689675
0.048,0.0368286959460607
0.049,0.04212213567975303
0.05,0.04744920839611368
0.051,0.05280969253234664
0.052,0.05820290482220741
0.053,0.06362821969473463
0.054,0.06908497509491153
0.055,0.07457249376126494
0.056,0.0800901700383158
0.057,0.08563724809483785
0.058,0.09121303818055486
0.059,0.09681681728736026
0.06,0.1024478286973492
0.061,0.1081053418947611
0.062,0.1137885815267139
0.063,0.1194967695953956
0.064,0.1252291149014887
0.065,0.1309848121790422
0.066,0.136763048596568
0.067,0.1425629943185447
0.068,0.148383808233634
0.069,0.1542246366714735
0.07,0.1600846145071823
0.071,0.1659629041603797
0.072,0.171858607548001
0.073,0.1777708333249818
0.074,0.1836986793260298
0.075,0.1896412325684953
0.076,0.195597667569727
0.077,0.2015670297579489
0.078,0.207548392896717
0.079,0.2135408262229047
0.08,0.2195433908503121
0.081,0.2255552571525006
0.082,0.2315754605932197
0.083,0.2376030523926619
0.084,0.24363709192105
0.085,0.2496766334914055
0.086,0.2557208043050003
0.087,0.2617686568529659
0.088,0.2678192351967057
0.089,0.2738715965951704
0.09,0.2799247955785854
0.091,0.2859779224692117
0.092,0.2920300394274093
0.093,0.2980801923701731
0.094,0.3041274380964732
0.095,0.3101708320129721
0.096,0.3162094660206403
0.097,0.3222424169475774
0.098,0.3282687319720223
0.099,0.3342874760551621
0.1,0.3402977143092275
0.1,0.3402977149698552
0.1,0.3402977149698552
0.101,0.3462968888099867
0.102,0.3522857382476443
0.103,0.3582645179602796
0.104,0.3642311802258748
0.105,0.3701843077307825
0.106,0.3761232331376764
0.107,0.3820474298705724
0.108,0.3879556606983562
0.109,0.3938471740922139
0.11,0.3997213769778453
0.111,0.4055770917098864
0.112,0.4114136875439698
0.113,0.4172303168649552
0.114,0.4230259520423035
0.115,0.4287997969870162
0.116,0.4345509638501394
0.117,0.4402785104393257
0.118,0.4459815735742061
0.119,0.4516592903573916
0.12,0.4573108896972861
0.121,0.4629354675594674
0.122,0.4685322090187377
0.123,0.4741004469785337
0.124,0.4796392997348827
0.125,0.4851479884855321
0.126,0.4906258578766892
0.127,0.4960721320514277
0.128,0.5014860701385434
0.129,0.5068668482976341
0.13,0.5122137528436798
0.131,0.517526038271992
0.132,0.5228029621702597
0.133,0.5280439044359906
0.134,0.5332481247915261
0.135,0.5384149290575324
0.136,0.5435436354617993
0.137,0.5486335346015595
0.138,0.5536839399520894
0.139,0.5586941923314104
0.14,0.5636636268336984
0.141,0.5685916256083292
0.142,0.5734776387130689
0.143,0.5783210104523072
0.144,0.5831211435504142
0.145,0.5878774491735634
0.146,0.5925892741111993
0.147,0.5972560701641569
0.148,0.6018772641798832
0.149,0.6064522918215449
0.15,0.6109806690663103
0.151,0.6154618712371497
0.152,0.6198953720955412
0.153,0.6242806731525548
0.154,0.6286172594229571
0.155,0.6329046100690826
0.156,0.6371422664649982
0.157,0.6413297570631438
0.158,0.6454666277858969
0.159,0.6495524899460433
0.16,0.653586890474274
0.161,0.6575694160185723
0.162,0.6614996652753005
0.163,0.6653772001141801
0.164,0.6692016393719546
0.165,0.6729726075500064
0.166,0.6766897334053621
0.167,0.6803526876402296
0.168,0.6839611526091379
0.169,0.6875147873716895
0.17,0.6910132804356628
0.171,0.6944563236003413
0.172,0.6978435908617762
0.173,0.7011748132184629
0.174,0.7044497148878986
0.175,0.7076680307329887
0.176,0.7108295456573351
0.177,0.7139340118224942
0.178,0.7169812058850892
0.179,0.7199709180507857
0.18,0.7229029261560268
0.181,0.7257770287829437
0.182,0.7285930500468674
0.183,0.7313508158311814
0.184,0.734050173228764
0.185,0.7366909976453366
0.186,0.7392731435404648
0.187,0.7417964903139419
0.188,0.7442609283284101
0.189,0.7466663292283486
0.19,0.7490126139388541
0.191,0.7512997007560615
0.192,0.7535275188008416
0.193,0.7556960207412201
0.194,0.7578051616956324
0.195,0.7598549052392786
0.196,0.7618452293410897
0.197,0.7637761112982437
0.198,0.7656475310824923
0.199,0.7674595025054922
0.2,0.7692120396948897
0.201,0.7709051670849287
0.202,0.7725389194165281
0.203,0.7741133417374361
0.204,0.7756284894024646
0.205,0.7770844280738027
0.206,0.7784812727443263
0.207,0.7798190997673192
0.208,0.7810980050923927
0.209,0.7823181013479608
0.21,0.7834795119495107
0.211,0.7845823711004524
0.212,0.7856268237930691
0.213,0.7866130111342332
0.214,0.7875410413122271
0.215,0.7884111253992307
0.216,0.7892234438493325
0.217,0.789978187310002
0.218,0.7906755566234723
0.219,0.7913157628281859
0.22,0.7918990271603088
0.221,0.7924255211129416
0.222,0.7928954676723681
0.223,0.7933091406240999
0.224,0.7936667916256043
0.225,0.7939686817864343
0.226,0.7942150816700542
0.227,0.7944062712957033
0.228,0.7945425401403007
0.229,0.794624098920922
0.23,0.7946513006419585
0.231,0.7946244561839234
0.232,0.7945438838399824
0.233,0.7944099107216051
0.234,0.7942228727606704
0.235,0.7939831147115928
0.236,0.7936909631296066
0.237,0.7933467342513032
0.238,0.7929508291405579
0.239,0.7925036196057907
0.24,0.7920054856678029
0.241,0.7914568155620257
0.242,0.7908580057407649
0.243,0.7902094608754424
0.244,0.7895115195252583
0.245,0.7887646093499974
0.246,0.787969170484828
0.247,0.7871256300722781
0.248,0.7862344227223066
0.249,0.785295990514449
0.25,0.7843107829999397
0.251,0.7832792449333221
0.252,0.7822017364049042
0.253,0.7810787873076196
0.254,0.779910865615674
0.255,0.7786984459065187
0.256,0.7774420093629802
0.257,0.7761420437753517
0.258,0.7747990435434379
0.259,0.7734134621766521
0.26,0.7719857730234841
0.261,0.7705165177775622
0.262,0.7690062071077816
0.263,0.7674553575439769
0.264,0.765864491478722
0.265,0.7642341371690742
0.266,0.762564772007583
0.267,0.7608569238016528
0.268,0.7591111527016464
0.269,0.7573279998214464
0.27,0.7555080113323266
0.271,0.753651738464568
0.272,0.7517597375090069
0.273,0.7498324844100246
0.274,0.7478705570252009
0.275,0.7458745320982254
0.276,0.7438449726546122
0.277,0.7417824457296124
0.278,0.7396875223696263
0.279,0.7375607776335503
0.28,0.7354027152562145
0.281,0.7332139472082719
0.282,0.7309950556495867
0.283,0.7287466216346132
0.284,0.7264692294451812
0.285,0.7241634665915462
0.286,0.7218299193339737
0.287,0.7194691108869693
0.288,0.7170816730560261
0.289,0.7146681974853278
0.29,0.7122292783115277
0.291,0.7097655121645391
0.292,0.7072774981682606
0.293,0.7047658238417632
0.294,0.7022310338674057
0.295,0.6996737652552908
0.296,0.6970946179437986
0.297,0.6944941936055298
0.298,0.6918730956478716
0.299,0.6892319292135034
0.3,0.6865712821709861
0.301,0.6838917205021119
0.302,0.681193864955566
0.303,0.6784783127967056
0.304,0.6757456613336861
0.305,0.6729965079169921
0.306,0.6702314499389209
0.307,0.6674510820906305
0.308,0.6646560001169409
0.309,0.6618468034379617
0.31,0.659024089318991
0.311,0.6561884550675906
0.312,0.6533404980327979
0.313,0.6504808156042985
0.314,0.6476099616654907
0.315,0.6447285296055547
0.316,0.6418371326239863
