"time","gFM_VSM_cc.measurementPcc.PGenPu"
0,0
0.001,-0.1706237488988298
0.002,-0.3543203005242008
0.003,-0.4021135619642385
0.004,-0.3572474962992551
0.005,-0.3412303409862857
0.006,-0.3090161374969858
0.007,-0.2886156115230594
0.008,-0.2671552495589425
0.009,-0.2572473654193316
0.01,-0.2402338948835072
0.011,-0.2279073153843416
0.012,-0.2168474683624413
0.013,-0.2059230148426443
0.014,-0.1954968457385814
0.015,-0.1863081660579355
0.016,-0.1779046478141365
0.017,-0.1693874567287078
0.018,-0.1619411751298451
0.019,-0.1546929642022533
0.02,-0.1478830108782468
0.021,-0.1413715812284905
0.022,-0.1352362064325714
0.023,-0.1293399940492162
0.024,-0.1237000249987532
0.025,-0.1182890365816965
0.026,-0.1130861513386049
0.027,-0.1080645422091752
0.028,-0.103213563378897
0.029,-0.09851958663388327
0.03,-0.09396960678217305
0.031,-0.08955178587277118
0.032,-0.08525630833002225
0.033,-0.08107472409134096
0.034,-0.07699940517820644
0.035,-0.07302370949786516
0.036,-0.0691417117435878
0.037,-0.06534752766596572
0.038,-0.06163622718024348
0.039,-0.0580032986648295
0.04,-0.05444448294317864
0.041,-0.0509560878148399
0.042,-0.04753480505641657
0.043,-0.0441775802005772
0.044,-0.04088193271157665
0.045,-0.03764513981880852
0.046,-0.03446454894479254
0.047,-0.03133830238718662
0.048,-0.02826404777393722
0.049,-0.02524008505523659
0.05,-0.02226462796757938
0.051,-0.01933577565918819
0.052,-0.01645207897691155
0.053,-0.01361195488817625
0.054,-0.01081399109961234
0.055,-0.008056881059109525
0.056,-0.005339251450444646
0.057,-0.002659946813685032
0.058,-1.780687478186444e-05
0.059,0.00258828714908027
0.06,0.005159367715223844
0.061,0.007696467694222649
0.062,0.01020056358356477
0.063,0.01267259252709622
0.064,0.01511342394302826
0.065,0.01752393221317618
0.066,0.01990494836486236
0.067,0.02225727661640814
0.068,0.024581691505981
0.069,0.0268789118217619
0.07,0.02914965139892054
0.071,0.03139458781064285
0.072,0.03361437061733256
0.073,0.03580962554932457
0.074,0.03798105047337458
0.075,0.04012921929710524
0.076,0.04225473106701154
0.077,0.04435817469305998
0.078,0.04644008726054109
0.079,0.04850093376198644
0.08,0.0505412779549578
0.081,0.05256162399210382
0.082,0.05456246278631852
0.083,0.05654421796504894
0.084,0.05850732662063155
0.085,0.06045222958557485
0.086,0.06237933649949255
0.087,0.06428904203779086
0.088,0.06618176926991005
0.089,0.06805787616771387
0.09,0.06991772740468749
0.091,0.07176167655264666
0.092,0.07359008037137754
0.093,0.07540330788053724
0.094,0.07720168370295315
0.095,0.07898554289784715
0.096,0.08075521658942396
0.097,0.08251098235693342
0.098,0.08425313630584846
0.099,0.08598198960314889
0.1,0.08769783221308282
0.101,0.08940094711840922
0.102,0.09109151863856883
0.103,0.09276982995427566
0.104,0.09443611433652098
0.105,0.09609059324326689
0.106,0.09773348969478965
0.107,0.09936503920871004
0.108,0.1009854265069593
0.109,0.1025948437704646
0.11,0.1041934742923427
0.111,0.105781549107597
0.112,0.1073592707679636
0.113,0.1089268118042163
0.114,0.1104843614473286
0.115,0.112032108533786
0.116,0.1135702147293288
0.117,0.1150988733705578
0.118,0.1166182665545324
0.119,0.1181285768953797
0.12,0.1196299428141814
0.121,0.1211224191794738
0.122,0.1226062071089081
0.123,0.1240814412026847
0.124,0.1255482501327772
0.125,0.1270067693626356
0.126,0.1284571223938117
0.127,0.1298994204238026
0.128,0.1313337738776393
0.129,0.132760287848727
0.13,0.1341791153923828
0.131,0.1355903390761582
0.132,0.1369940599731586
0.133,0.1383903759476513
0.134,0.1397793934394787
0.135,0.141161239597594
0.136,0.1425359932654317
0.137,0.1439037491821864
0.138,0.1452645996291967
0.139,0.1466186404756644
0.14,0.1479659626182874
0.141,0.1493066510271145
0.142,0.1506407908356891
0.143,0.1519684650145653
0.144,0.1532897297134094
0.145,0.1546046684307857
0.146,0.155913352284214
0.147,0.1572158489343127
0.148,0.1585122188305142
0.149,0.1598025213510652
0.15,0.1610868360696335
0.151,0.1623652322156444
0.152,0.1636377790009621
0.153,0.164904515181039
0.154,0.1661654974374496
0.155,0.1674208028593435
0.156,0.1686704950310088
0.157,0.1699146375199886
0.158,0.1711532321567641
0.159,0.1723863639263436
0.16,0.1736140920257695
0.161,0.1748364732261423
0.162,0.1760535503871809
0.163,0.1772653371391928
0.164,0.1784719097353343
0.165,0.1796733185888637
0.166,0.1808696140981203
0.167,0.1820608176722774
0.168,0.1832469660602652
0.169,0.1844281179086493
0.17,0.1856043180968063
0.171,0.1867756114902742
0.172,0.1879420136743467
0.173,0.1891035736673982
0.174,0.1902603303670248
0.175,0.1914123203425905
0.176,0.1925595789584324
0.177,0.1937021397804063
0.178,0.1948400369869407
0.179,0.1959733032283339
0.18,0.1971019702275872
0.181,0.1982260687806997
0.182,0.199345628756962
0.183,0.2004606790992502
0.184,0.2015712478243203
0.185,0.2026773620231011
0.186,0.2037790793372826
0.187,0.2048764115541343
0.188,0.205969383980069
0.189,0.2070580235474828
0.19,0.2081423565378312
0.191,0.2092224085818511
0.192,0.2102982046597829
0.193,0.2113697691015922
0.194,0.2124371255871912
0.195,0.2135003087635905
0.196,0.2145593446472952
0.197,0.2156142493698761
0.198,0.2166650456019373
0.199,0.2177117554715504
0.2,0.2187544005644667
0.201,0.2197930019243278
0.202,0.2208275800528771
0.203,0.221858154910169
0.204,0.222884752906023
0.205,0.2239074172288686
0.206,0.224926148995204
0.207,0.2259409682594147
0.208,0.226951894678443
0.209,0.227958947511965
0.21,0.2289621456225665
0.211,0.2299615074759187
0.212,0.2309570511409528
0.213,0.2319487942900345
0.214,0.2329367751522737
0.215,0.2339210010546114
0.216,0.2349014877190016
0.217,0.2358782528430143
0.218,0.2368513138264291
0.219,0.2378206877713809
0.22,0.2387863914825053
0.221,0.2397484414670827
0.222,0.2407068539351823
0.223,0.2416616524210672
0.224,0.2426128557469962
0.225,0.2435604748240358
0.226,0.2445045256756488
0.227,0.2454450240909494
0.228,0.2463819856248249
0.229,0.2473154255980567
0.23,0.2482453590974413
0.231,0.2491718009759094
0.232,0.2500947672933817
0.233,0.2510142790178269
0.234,0.2519303463441587
0.235,0.2528429840521235
0.236,0.2537522067847029
0.237,0.2546580290528289
0.238,0.2555604652400988
0.239,0.2564595296074875
0.24,0.2573552362980572
0.241,0.2582475993416649
0.242,0.2591366334220063
0.243,0.2600223521015634
0.244,0.2609047690787407
0.245,0.2617838980750046
0.246,0.2626597527326082
0.247,0.2635323466197701
0.248,0.2644016932358493
0.249,0.2652678060165209
0.25,0.2661306983389451
0.251,0.2669903811633917
0.252,0.2678468662024281
0.253,0.268700168059423
0.254,0.2695502994025771
0.255,0.2703972728094663
0.256,0.2712411007694744
0.257,0.2720817956862253
0.258,0.2729193698800126
0.259,0.2737538355902287
0.26,0.274585204977792
0.261,0.2754134901275725
0.262,0.2762387030508164
0.263,0.2770608556875688
0.264,0.2778799599090949
0.265,0.2786960275203005
0.266,0.2795090702621501
0.267,0.2803190998140848
0.268,0.2811261277964371
0.269,0.2819301657728464
0.27,0.2827312296140488
0.271,0.2835293287404722
0.272,0.2843244739283253
0.273,0.2851166767721315
0.274,0.2859059488398705
0.275,0.2866923016760055
0.276,0.2874757468045112
0.277,0.2882562957318976
0.278,0.2890339599502349
0.279,0.2898087509401752
0.28,0.2905806801739735
0.281,0.2913497591185078
0.282,0.2921159992382966
